,C,coef0,gamma,tol
3.0,9.187842332321658,0.7262941230770367,0.0016378466109978518,3.5138073842994044e-05
6.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
11.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
12.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
15.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
16.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
18.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
20.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
21.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
22.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
23.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
24.0,1407.1623624989234,0.7262941230770367,0.04838280851938259,3.5138073842994044e-05
28.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
29.0,1407.1623624989234,0.7262941230770367,0.0016378466109978518,3.5138073842994044e-05
31.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
32.0,1410.5035451146089,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
36.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
37.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
41.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
43.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
45.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
49.0,1407.1623624989234,0.7259751685639876,0.04891801683942932,3.5138073842994044e-05
53.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
58.0,1407.1623624989234,0.7262941230770367,0.04893134749723123,3.5138073842994044e-05
219.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
2074.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
2079.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3021.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3022.0,9.187842332321658,0.7262941230770367,0.0016378466109978518,3.5138073842994044e-05
3481.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3485.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3492.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3493.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3494.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3510.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3512.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3543.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3549.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3560.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3561.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3567.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3573.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3889.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5392456135551526e-05
3891.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3896.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3899.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3902.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3903.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3904.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3913.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3917.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3918.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.50541656402049e-05
3946.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3948.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
3954.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
7592.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9914.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9946.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9950.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9952.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9954.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9955.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9956.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9957.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,0.02844066227057925
9960.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9964.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9967.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9968.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9970.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9971.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9976.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9977.0,1407.1623624989234,0.7262941230770367,0.0016378466109978518,3.5138073842994044e-05
9978.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9979.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9980.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9981.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9983.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9985.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
9986.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
10093.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
10101.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,0.02844066227057925
14964.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14965.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14966.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14967.0,9.187842332321658,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14968.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14969.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
14970.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
34536.0,1407.1623624989234,0.7263824440711409,0.04891801683942932,3.5138073842994044e-05
34537.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
34538.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
34539.0,1360.0826881082783,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
125920.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,0.02844066227057925
125921.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
125922.0,1407.1623624989234,0.7262941230770367,0.0016378466109978518,0.02844066227057925
125923.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
146195.0,1407.1623624989234,0.7262941230770367,0.0016378466109978518,3.5138073842994044e-05
146606.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
146607.0,1407.1623624989234,0.7262941230770367,0.04891801683942932,3.5138073842994044e-05
