,C,gamma,tol
3.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
6.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
11.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
12.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
15.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
16.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
18.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
20.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
21.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
22.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
23.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
24.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
28.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
29.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
31.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
32.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
36.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
37.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
41.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
43.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
45.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
49.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
53.0,5632.196190196331,5.401104890366646e-05,0.027969995847012145
58.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
219.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
2074.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
2079.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
3021.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3022.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3481.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3485.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3492.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3493.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
3494.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3510.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3512.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3543.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3549.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3560.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3561.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3567.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3573.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3889.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3891.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
3896.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3899.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3902.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
3903.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3904.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3913.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3917.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
3918.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3946.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3948.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
3954.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
7592.0,5692.158154579961,5.401104890366646e-05,1.5256686877761952e-05
9914.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9946.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
9950.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9952.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
9954.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9955.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9956.0,5673.266695941194,5.3977548131647264e-05,0.027969995847012145
9957.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9960.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9964.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9967.0,5673.266695941194,5.401104890366646e-05,1.5239703124645158e-05
9968.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9970.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9971.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9976.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9977.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9978.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9979.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9980.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9981.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9983.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
9985.0,5673.266695941194,5.401104890366646e-05,8.102572715158748e-05
9986.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
10093.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
10101.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
14964.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14965.0,5673.266695941194,5.401104890366646e-05,0.027969995847012145
14966.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14967.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14968.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14969.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
14970.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
34536.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
34537.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
34538.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
34539.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
125920.0,5673.266695941194,5.4297870856357145e-05,1.5256686877761952e-05
125921.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
125922.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
125923.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
146195.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
146606.0,5673.266695941194,5.401104890366646e-05,1.5256686877761952e-05
146607.0,5673.266695941194,5.401104890366646e-05,1.52690441664917e-05
