,max_features,min_samples_leaf,min_samples_split
3.0,0.13380007923721576,1.0,3.0
6.0,0.13682818117327744,1.0,3.0
11.0,0.13380007923721576,1.0,3.0
12.0,0.13682818117327744,1.0,3.0
14.0,0.13380007923721576,1.0,3.0
15.0,0.13380007923721576,1.0,3.0
16.0,0.13380007923721576,1.0,3.0
18.0,0.13380007923721576,1.0,3.0
20.0,0.13382965965459243,1.0,3.0
21.0,0.13380007923721576,1.0,3.0
22.0,0.13380007923721576,1.0,3.0
23.0,0.13380007923721576,1.0,3.0
24.0,0.13380007923721576,1.0,3.0
28.0,0.13682818117327744,1.0,3.0
29.0,0.13682818117327744,1.0,3.0
31.0,0.13380007923721576,1.0,3.0
32.0,0.13682818117327744,1.0,3.0
36.0,0.13682818117327744,1.0,3.0
37.0,0.13380007923721576,1.0,3.0
41.0,0.13380007923721576,1.0,3.0
43.0,0.13682818117327744,1.0,3.0
45.0,0.13380007923721576,1.0,3.0
49.0,0.13380007923721576,1.0,3.0
53.0,0.13380007923721576,1.0,3.0
58.0,0.13380007923721576,1.0,3.0
219.0,0.13367054096720488,1.0,3.0
2074.0,0.13380007923721576,1.0,3.0
2079.0,0.13380007923721576,1.0,3.0
3021.0,0.13380007923721576,1.0,3.0
3022.0,0.13682818117327744,1.0,3.0
3481.0,0.13380007923721576,1.0,3.0
3485.0,0.13682818117327744,1.0,3.0
3492.0,0.13380007923721576,1.0,3.0
3493.0,0.13380007923721576,1.0,3.0
3494.0,0.13380007923721576,1.0,3.0
3510.0,0.13682818117327744,1.0,3.0
3512.0,0.13380007923721576,1.0,3.0
3543.0,0.13380007923721576,1.0,3.0
3549.0,0.13380007923721576,1.0,3.0
3560.0,0.13380007923721576,1.0,3.0
3561.0,0.13380007923721576,1.0,3.0
3567.0,0.13380007923721576,1.0,3.0
3573.0,0.13380007923721576,1.0,3.0
3889.0,0.13380007923721576,1.0,3.0
3891.0,0.13682818117327744,1.0,3.0
3896.0,0.13682818117327744,1.0,3.0
3899.0,0.13380007923721576,1.0,3.0
3902.0,0.13682818117327744,1.0,3.0
3903.0,0.13380007923721576,1.0,3.0
3904.0,0.13380007923721576,1.0,3.0
3913.0,0.13380007923721576,1.0,3.0
3917.0,0.13380007923721576,1.0,3.0
3918.0,0.13682818117327744,1.0,3.0
3946.0,0.13380007923721576,1.0,3.0
3948.0,0.13380007923721576,1.0,3.0
3954.0,0.13682818117327744,1.0,3.0
7592.0,0.13682818117327744,1.0,3.0
9914.0,0.13380007923721576,1.0,3.0
9946.0,0.13682818117327744,1.0,3.0
9950.0,0.13682818117327744,1.0,3.0
9952.0,0.13380007923721576,1.0,3.0
9954.0,0.13380007923721576,1.0,3.0
9955.0,0.13380007923721576,1.0,3.0
9956.0,0.13380007923721576,1.0,3.0
9957.0,0.13682818117327744,1.0,3.0
9960.0,0.13380007923721576,1.0,3.0
9964.0,0.13380007923721576,1.0,3.0
9967.0,0.13380007923721576,1.0,3.0
9968.0,0.13380007923721576,1.0,3.0
9970.0,0.13682818117327744,1.0,3.0
9971.0,0.13380007923721576,1.0,3.0
9976.0,0.13682818117327744,1.0,3.0
9977.0,0.13682818117327744,1.0,3.0
9978.0,0.13380007923721576,1.0,3.0
9979.0,0.13380007923721576,1.0,3.0
9980.0,0.13380007923721576,1.0,3.0
9981.0,0.13380007923721576,1.0,3.0
9983.0,0.13682818117327744,1.0,3.0
9985.0,0.13380007923721576,1.0,3.0
9986.0,0.13380007923721576,1.0,3.0
10093.0,0.13380007923721576,1.0,3.0
10101.0,0.13380007923721576,1.0,3.0
14964.0,0.13380007923721576,1.0,3.0
14965.0,0.13380007923721576,1.0,3.0
14966.0,0.13380007923721576,1.0,3.0
14967.0,0.13380007923721576,1.0,3.0
14968.0,0.13682818117327744,1.0,3.0
14969.0,0.13380007923721576,1.0,3.0
14970.0,0.13682818117327744,1.0,3.0
34536.0,0.13380007923721576,1.0,3.0
34537.0,0.13380007923721576,1.0,3.0
34538.0,0.13380007923721576,1.0,3.0
34539.0,0.13380007923721576,1.0,3.0
125920.0,0.13682818117327744,1.0,3.0
125921.0,0.13682818117327744,1.0,3.0
125922.0,0.13682818117327744,1.0,3.0
125923.0,0.13380007923721576,1.0,3.0
146195.0,0.13682818117327744,1.0,3.0
146606.0,0.13682818117327744,1.0,3.0
146607.0,0.13380007923721576,1.0,3.0
