% emm
@RELATION emm

@ATTRIBUTE bootstrap {False, True}
@ATTRIBUTE criterion {entropy, gini}
@ATTRIBUTE max_features NUMERIC
@ATTRIBUTE min_samples_leaf NUMERIC
@ATTRIBUTE min_samples_split NUMERIC
@ATTRIBUTE strategy {mean}
@ATTRIBUTE y NUMERIC
@ATTRIBUTE task_id NUMERIC
@ATTRIBUTE Dimensionality NUMERIC
@ATTRIBUTE MajorityClassPercentage NUMERIC
@ATTRIBUTE MajorityClassSize NUMERIC
@ATTRIBUTE MinorityClassSize NUMERIC
@ATTRIBUTE NumberOfBinaryFeatures NUMERIC
@ATTRIBUTE NumberOfClasses NUMERIC
@ATTRIBUTE NumberOfFeatures NUMERIC
@ATTRIBUTE NumberOfInstances NUMERIC
@ATTRIBUTE NumberOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE NumberOfMissingValues NUMERIC
@ATTRIBUTE NumberOfNumericFeatures NUMERIC
@ATTRIBUTE NumberOfSymbolicFeatures NUMERIC
@ATTRIBUTE PercentageOfBinaryFeatures NUMERIC
@ATTRIBUTE PercentageOfInstancesWithMissingValues NUMERIC
@ATTRIBUTE PercentageOfMissingValues NUMERIC
@ATTRIBUTE PercentageOfNumericFeatures NUMERIC
@ATTRIBUTE PercentageOfSymbolicFeatures NUMERIC

@DATA
False,entropy,0.2909047389129443,9,10,mean,0.985607,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.5507979025745755,11,12,mean,0.981852,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.5507979025745755,11,12,mean,0.981852,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.5507979025745755,11,12,mean,0.979349,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.510827605197663,1,2,mean,0.996558,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.8929469543476547,20,12,mean,0.974969,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.7081478226181048,4,5,mean,0.991552,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.2909047389129443,9,10,mean,0.982165,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.5507979025745755,11,12,mean,0.979975,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.7081478226181048,4,5,mean,0.992491,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.8962930889334381,11,13,mean,0.975282,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.12558531046383625,12,11,mean,0.975282,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.05146720330082988,11,8,mean,0.963392,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.20724287813818676,10,12,mean,0.976533,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.029876210878566956,1,14,mean,0.973717,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.44080984365063647,7,2,mean,0.98373,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.4568332243947111,13,9,mean,0.975594,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.6491440476147607,8,16,mean,0.982791,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.2784872826479753,15,19,mean,0.981227,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.6762549019801313,18,4,mean,0.969024,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.023981882377165364,3,3,mean,0.963705,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.5908628174163508,3,4,mean,0.992491,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.558854087990882,2,7,mean,0.994055,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.2592524469074654,20,10,mean,0.97403,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.28352508177131874,9,3,mean,0.981852,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.41510119701006964,6,16,mean,0.984355,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.15686773847496327,11,13,mean,0.970588,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.4404537176707395,2,9,mean,0.994055,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,gini,0.6931379183129963,15,12,mean,0.978411,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.5446490180318447,8,3,mean,0.984981,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.2219578839321814,16,7,mean,0.968085,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.30636353237617975,2,18,mean,0.994368,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.38797125755564876,17,19,mean,0.978098,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.780314764511367,12,17,mean,0.978411,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,gini,0.9363836498604304,6,16,mean,0.982478,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
False,entropy,0.6723836759128137,15,2,mean,0.978411,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
True,entropy,0.8457508712931793,1,20,mean,0.993116,3,0.011576971214017523,0.522215269086358,1669.0,1527.0,35.0,2.0,37.0,3196.0,0.0,0.0,0.0,37.0,0.9459459459459459,0.0,0.0,0.0,1.0
