accuracy,fold,dataset,seed
0.9954545454545455,0.0,32,10
0.9881818181818182,1.0,32,10
0.989080982711556,2.0,32,10
0.989080982711556,3.0,32,10
0.9963603275705186,4.0,32,10
0.9954504094631483,5.0,32,10
0.9936305732484076,6.0,32,10
0.9927206551410374,7.0,32,10
0.991810737033667,8.0,32,10
0.9909008189262967,9.0,32,10
0.856,0.0,58,10
0.85,1.0,58,10
0.884,2.0,58,10
0.878,3.0,58,10
0.854,4.0,58,10
0.872,5.0,58,10
0.862,6.0,58,10
0.882,7.0,58,10
0.846,8.0,58,10
0.844,9.0,58,10
0.7700794351279788,0.0,219,10
0.7579435127978817,1.0,219,10
0.7442065769145884,2.0,219,10
0.7693665857426617,3.0,219,10
0.7638490399470316,4.0,219,10
0.7687044802471861,5.0,219,10
0.7792981681747958,6.0,219,10
0.7720150077245641,7.0,219,10
0.765393952769808,8.0,219,10
0.7671595674244096,9.0,219,10
0.975,0.0,20,10
0.98,1.0,20,10
0.985,2.0,20,10
0.97,3.0,20,10
0.94,4.0,20,10
0.985,5.0,20,10
0.975,6.0,20,10
0.97,7.0,20,10
0.975,8.0,20,10
0.97,9.0,20,10
0.72,0.0,18,10
0.73,1.0,18,10
0.73,2.0,18,10
0.74,3.0,18,10
0.725,4.0,18,10
0.795,5.0,18,10
0.765,6.0,18,10
0.74,7.0,18,10
0.745,8.0,18,10
0.75,9.0,18,10
1.0,0.0,11,10
0.9523809523809523,1.0,11,10
0.9365079365079365,2.0,11,10
0.9365079365079365,3.0,11,10
0.9365079365079365,4.0,11,10
0.9838709677419355,5.0,11,10
0.8709677419354839,6.0,11,10
0.967741935483871,7.0,11,10
0.9838709677419355,8.0,11,10
0.9516129032258065,9.0,11,10
0.8695652173913043,0.0,29,10
0.8840579710144928,1.0,29,10
0.8260869565217391,2.0,29,10
0.782608695652174,3.0,29,10
0.927536231884058,4.0,29,10
0.8405797101449275,5.0,29,10
0.8405797101449275,6.0,29,10
0.8260869565217391,7.0,29,10
0.8840579710144928,8.0,29,10
0.8840579710144928,9.0,29,10
0.98,0.0,16,10
0.975,1.0,16,10
0.985,2.0,16,10
0.98,3.0,16,10
0.96,4.0,16,10
0.985,5.0,16,10
0.975,6.0,16,10
0.98,7.0,16,10
0.98,8.0,16,10
0.98,9.0,16,10
0.9404388714733543,0.0,45,10
0.9686520376175548,1.0,45,10
0.9592476489028213,2.0,45,10
0.9498432601880877,3.0,45,10
0.9592476489028213,4.0,45,10
0.9717868338557993,5.0,45,10
0.9686520376175548,6.0,45,10
0.9592476489028213,7.0,45,10
0.9498432601880877,8.0,45,10
0.9780564263322884,9.0,45,10
0.9045,0.0,6,10
0.8985,1.0,6,10
0.9015,2.0,6,10
0.903,3.0,6,10
0.9005,4.0,6,10
0.894,5.0,6,10
0.895,6.0,6,10
0.8985,7.0,6,10
0.8985,8.0,6,10
0.9035,9.0,6,10
0.9822064056939501,0.0,28,10
0.9857651245551602,1.0,28,10
0.9857651245551602,2.0,28,10
0.9804270462633452,3.0,28,10
0.9839857651245552,4.0,28,10
0.9661921708185054,5.0,28,10
0.9822064056939501,6.0,28,10
0.9822064056939501,7.0,28,10
0.9750889679715302,8.0,28,10
0.9857651245551602,9.0,28,10
1.0,0.0,21,10
0.9942196531791907,1.0,21,10
0.9942196531791907,2.0,21,10
1.0,3.0,21,10
