accuracy,fold,dataset,seed
0.8769716088328076,0.0,3954,50
0.8764458464773922,1.0,3954,50
0.879074658254469,2.0,3954,50
0.8843322818086226,3.0,3954,50
0.8743427970557308,4.0,3954,50
0.880651945320715,5.0,3954,50
0.8696109358569927,6.0,3954,50
0.8738170347003155,7.0,3954,50
0.8811777076761304,8.0,3954,50
0.8732912723449001,9.0,3954,50
0.8769716088328076,0.0,3954,60
0.8711882229232387,1.0,3954,60
0.8759200841219769,2.0,3954,60
0.880651945320715,3.0,3954,60
0.8753943217665615,4.0,3954,60
0.8801261829652997,5.0,3954,60
0.8711882229232387,6.0,3954,60
0.8717139852786541,7.0,3954,60
0.880651945320715,8.0,3954,60
0.8759200841219769,9.0,3954,60
0.8748685594111462,0.0,3954,20
0.8717139852786541,1.0,3954,20
0.8780231335436383,2.0,3954,20
0.882229232386961,3.0,3954,20
0.8769716088328076,4.0,3954,20
0.8811777076761304,5.0,3954,20
0.8732912723449001,6.0,3954,20
0.8727655099894848,7.0,3954,20
0.8785488958990536,8.0,3954,20
0.8785488958990536,9.0,3954,20
0.8764458464773922,0.0,3954,80
0.8727655099894848,1.0,3954,80
0.8811777076761304,2.0,3954,80
0.8827549947423764,3.0,3954,80
0.8759200841219769,4.0,3954,80
0.8827549947423764,5.0,3954,80
0.870136698212408,6.0,3954,80
0.8727655099894848,7.0,3954,80
0.880651945320715,8.0,3954,80
0.8743427970557308,9.0,3954,80
0.879074658254469,0.0,3954,10
0.8732912723449001,1.0,3954,10
0.879074658254469,2.0,3954,10
0.8832807570977917,3.0,3954,10
0.8796004206098843,4.0,3954,10
0.880651945320715,5.0,3954,10
0.870136698212408,6.0,3954,10
0.8711882229232387,7.0,3954,10
0.8796004206098843,8.0,3954,10
0.8774973711882229,9.0,3954,10
0.8785488958990536,0.0,3954,100
0.8696109358569927,1.0,3954,100
0.8796004206098843,2.0,3954,100
0.8848580441640379,3.0,3954,100
0.8753943217665615,4.0,3954,100
0.8774973711882229,5.0,3954,100
0.8722397476340694,6.0,3954,100
0.8727655099894848,7.0,3954,100
0.880651945320715,8.0,3954,100
0.8738170347003155,9.0,3954,100
0.8785488958990536,0.0,3954,30
0.8717139852786541,1.0,3954,30
0.8759200841219769,2.0,3954,30
0.8827549947423764,3.0,3954,30
0.8743427970557308,4.0,3954,30
0.8827549947423764,5.0,3954,30
0.8732912723449001,6.0,3954,30
0.8722397476340694,7.0,3954,30
0.880651945320715,8.0,3954,30
0.8748685594111462,9.0,3954,30
0.8780231335436383,0.0,3954,90
0.870136698212408,1.0,3954,90
0.8817034700315457,2.0,3954,90
0.8848580441640379,3.0,3954,90
0.8759200841219769,4.0,3954,90
0.8785488958990536,5.0,3954,90
0.870136698212408,6.0,3954,90
0.8732912723449001,7.0,3954,90
0.879074658254469,8.0,3954,90
0.8796004206098843,9.0,3954,90
0.8764458464773922,0.0,3954,70
0.8722397476340694,1.0,3954,70
0.8785488958990536,2.0,3954,70
0.8827549947423764,3.0,3954,70
0.8780231335436383,4.0,3954,70
0.8801261829652997,5.0,3954,70
0.8675078864353313,6.0,3954,70
0.8727655099894848,7.0,3954,70
0.8811777076761304,8.0,3954,70
0.8780231335436383,9.0,3954,70
0.8774973711882229,0.0,3954,40
0.8774973711882229,1.0,3954,40
0.8690851735015773,2.0,3954,40
0.8838065194532071,3.0,3954,40
0.8769716088328076,4.0,3954,40
0.8843322818086226,5.0,3954,40
0.8696109358569927,6.0,3954,40
0.8706624605678234,7.0,3954,40
0.8780231335436383,8.0,3954,40
0.8696109358569927,9.0,3954,40
0.72,0.0,125921,50
0.78,1.0,125921,50
0.7,2.0,125921,50
0.74,3.0,125921,50
0.84,4.0,125921,50
0.68,5.0,125921,50
0.68,6.0,125921,50
0.68,7.0,125921,50
0.6,8.0,125921,50
0.8,9.0,125921,50
0.74,0.0,125921,60
0.8,1.0,125921,60
0.7,2.0,125921,60
0.72,3.0,125921,60
0.84,4.0,125921,60
0.68,5.0,125921,60
0.68,6.0,125921,60
0.7,7.0,125921,60
0.62,8.0,125921,60
0.78,9.0,125921,60
0.72,0.0,125921,20
0.78,1.0,125921,20
0.7,2.0,125921,20
0.74,3.0,125921,20
0.84,4.0,125921,20
0.64,5.0,125921,20
0.72,6.0,125921,20
0.68,7.0,125921,20
0.6,8.0,125921,20
0.8,9.0,125921,20
0.72,0.0,125921,80
0.78,1.0,125921,80
0.7,2.0,125921,80
0.74,3.0,125921,80
0.84,4.0,125921,80
0.64,5.0,125921,80
